GeneSymbol_EnsemblGeneID,alpha7G_Control_Male,alpha7G_Smoked_Male,alpha7E260A:G_Control_Male,alpha7E260A:G_Smoked_Male,alpha7G_C_Female,alpha7G_Smoked_Female,alpha7E260A:G_C_Female,alpha7E260A:G_Smoked_Female
4930524J08Rik_ENSMUSG00000035364.1,1,7,0,5,1,4,0,1
4930524N10Rik_ENSMUSG00000059663.1,0,0,0,0,0,0,0,0
4930525F21Rik_ENSMUSG00000027209.10,1,5,0,0,12,0,0,3
4930525M21Rik_ENSMUSG00000068173.4,0,0,0,0,0,0,0,0
4930526D03Rik_ENSMUSG00000045794.3,0,0,0,0,0,0,0,0
4930528F23Rik_ENSMUSG00000024155.7,0,7,0,0,0,0,0,1
4930529F22Rik_ENSMUSG00000046282.7,0,0,0,0,0,0,0,0
4930529M08Rik_ENSMUSG00000037143.10,238,208,292,331,460,247,251,262
4930533K18Rik_ENSMUSG00000047692.5,0,0,0,0,0,0,0,0
4930533L02Rik_ENSMUSG00000051614.1,0,0,0,0,0,0,0,0
4930534B04Rik_ENSMUSG00000061533.8,203,153,247,220,356,123,161,150
4930538K18Rik_ENSMUSG00000028642.6,4,2,5,5,3,2,2,2
4930539E08Rik_ENSMUSG00000048905.4,1,6,7,0,11,0,0,0
4930542C12Rik_ENSMUSG00000090724.1,0,0,0,0,0,0,0,0
4930542N07Rik_ENSMUSG00000025051.1,0,0,0,0,0,0,0,0
4930544G11Rik_ENSMUSG00000036463.7,0,0,0,0,0,0,0,0
4930544L04Rik_ENSMUSG00000073803.2,0,0,0,0,0,0,0,0
4930544M13Rik_ENSMUSG00000051758.5,0,0,0,0,0,0,0,0
4930544O15Rik_ENSMUSG00000044556.3,2,0,1,0,5,0,4,2
4930546C10Rik_ENSMUSG00000024546.5,0,0,0,0,0,0,0,0
4930547C10Rik_ENSMUSG00000028314.6,0,0,0,0,0,0,0,0
4930547N16Rik_ENSMUSG00000035365.9,39,18,32,14,29,20,30,27
4930548G14Rik_ENSMUSG00000051198.5,0,0,0,0,0,0,0,0
4930548H24Rik_ENSMUSG00000029138.2,1,0,0,0,0,0,0,0
4930549C01Rik_ENSMUSG00000036921.2,0,0,0,0,0,0,0,0
4930550C14Rik_ENSMUSG00000005131.2,33,52,21,22,73,38,41,44
4930550L24Rik_ENSMUSG00000046180.5,0,0,1,0,0,0,0,0
4930553M12Rik_ENSMUSG00000054351.1,0,0,0,0,0,1,0,0
4930555F03Rik_ENSMUSG00000031559.8,0,0,0,0,9,0,0,0
4930555G01Rik_ENSMUSG00000079381.2,0,0,0,0,0,0,0,0
4930555I21Rik_ENSMUSG00000028801.7,25,30,20,30,34,28,31,27
4930556J24Rik_ENSMUSG00000034493.1,0,0,0,1,4,2,0,0
4930557A04Rik_ENSMUSG00000048994.1,0,0,0,0,0,0,0,0
4930558K02Rik_ENSMUSG00000086277.2,0,0,0,0,0,0,0,0
4930562C15Rik_ENSMUSG00000022518.7,310,127,522,343,499,216,169,215
4930562F07Rik_ENSMUSG00000026729.4,2,0,0,0,0,0,0,2
4930563D23Rik_ENSMUSG00000051728.5,0,0,0,0,0,0,0,0
4930563I02Rik_ENSMUSG00000086112.1,0,0,0,0,0,0,0,0
4930564B18Rik_ENSMUSG00000022002.1,0,0,0,0,0,0,0,0
4930564D02Rik_ENSMUSG00000051788.4,0,0,0,0,0,0,0,0
4930566N20Rik_ENSMUSG00000054773.2,0,0,0,0,0,0,0,0
4930567H17Rik_ENSMUSG00000073141.2,0,0,0,0,0,0,0,0
4930568D16Rik_ENSMUSG00000026882.1,0,0,0,0,0,0,0,0
4930569F06Rik_ENSMUSG00000041512.3,0,0,0,0,0,0,0,0
4930570N19Rik_ENSMUSG00000090861.1,0,0,0,0,0,2,0,0
4930571K23Rik_ENSMUSG00000090457.1,0,0,0,0,0,0,0,0
4930572J05Rik_ENSMUSG00000056665.1,81,155,73,90,122,146,106,78
4930572O03Rik_ENSMUSG00000069720.4,3,0,8,6,5,11,15,12
4930578C19Rik_ENSMUSG00000037358.5,6,4,10,10,2,1,0,3
4930578G10Rik_ENSMUSG00000054885.5,0,0,0,0,0,0,0,0
4930578I06Rik_ENSMUSG00000021961.5,0,0,0,0,0,0,0,0
4930578I07Rik_ENSMUSG00000044480.3,0,0,0,0,0,0,0,0
4930578N16Rik_ENSMUSG00000070883.3,69,112,74,93,131,92,84,76
4930579C12Rik_ENSMUSG00000074146.3,0,0,0,0,0,0,0,5
4930579C15Rik_ENSMUSG00000028575.5,0,0,0,0,0,0,0,2
4930579F01Rik_ENSMUSG00000012042.4,0,0,0,1,0,0,0,0
4930579G22Rik_ENSMUSG00000025535.9,1,1,1,3,8,7,22,2
4930579G24Rik_ENSMUSG00000027811.8,18,28,12,7,17,17,23,23
4930579J09Rik_ENSMUSG00000035179.3,145,232,149,156,352,195,179,187
4930579K19Rik_ENSMUSG00000051074.2,12,24,8,5,17,11,9,11
4930583H14Rik_ENSMUSG00000037161.7,3,0,1,2,0,7,0,4
4930583I09Rik_ENSMUSG00000024088.3,0,0,0,0,0,0,0,0
4930584F24Rik_ENSMUSG00000029044.5,0,0,0,0,0,0,0,0
4930588N13Rik_ENSMUSG00000029660.6,54,51,50,64,111,70,57,49
4930589L23Rik_ENSMUSG00000068957.1,0,0,0,0,0,0,0,0
4930590J08Rik_ENSMUSG00000034063.7,0,0,0,0,0,0,0,0
4930591A17Rik_ENSMUSG00000039138.1,1,4,0,0,7,1,0,0
4930595D18Rik_ENSMUSG00000083193.1,0,0,0,0,0,0,0,0
4930595M18Rik_ENSMUSG00000060673.2,0,0,0,0,0,0,0,0
4930596D02Rik_ENSMUSG00000041068.5,0,0,0,0,0,0,0,0
4930597O21Rik_ENSMUSG00000053442.3,0,0,0,3,0,0,0,0
4931400O07Rik_ENSMUSG00000031194.1,0,0,0,0,0,0,0,0
4931406B18Rik_ENSMUSG00000013353.4,0,0,0,0,0,0,0,0
4931406C07Rik_ENSMUSG00000031938.7,471,555,391,583,713,570,513,752
4931406P16Rik_ENSMUSG00000066571.6,402,197,549,325,362,154,207,147
4931407G18Rik_ENSMUSG00000007907.3,0,0,0,0,0,0,0,0
4931408A02Rik_ENSMUSG00000039903.9,68,82,63,56,111,132,44,71
4931408C20Rik_ENSMUSG00000073722.2,0,0,0,2,0,0,0,1
4931409K22Rik_ENSMUSG00000038199.8,6,7,0,4,1,2,5,2
4931414P19Rik_ENSMUSG00000022179.4,51,63,64,60,44,62,41,33
4931417E11Rik_ENSMUSG00000056197.4,0,0,0,0,0,0,0,0
4931417G12Rik_ENSMUSG00000033963.10,1,0,0,0,0,2,0,0
4931422A03Rik_ENSMUSG00000046085.7,0,0,0,0,0,0,0,0
4931423N10Rik_ENSMUSG00000026774.5,0,0,0,0,0,0,0,0
4931428F04Rik_ENSMUSG00000014837.8,21,12,17,19,13,26,8,11
4931428L18Rik_ENSMUSG00000086727.1,0,0,0,0,4,0,0,0
4931429I11Rik_ENSMUSG00000032023.7,87,52,49,74,107,55,56,63
4931429L15Rik_ENSMUSG00000056617.5,0,0,0,0,0,0,0,0
4931429P17Rik_ENSMUSG00000047324.5,0,0,0,0,0,0,0,0
4931431F19Rik_ENSMUSG00000055643.3,0,0,0,0,0,0,0,0
4931440F15Rik_ENSMUSG00000078157.1,0,1,0,0,0,0,0,0
4931440L10Rik_ENSMUSG00000046367.8,0,0,0,0,0,0,0,0
4931440P22Rik_ENSMUSG00000074580.3,1,4,0,0,2,6,2,1
4932411E22Rik_ENSMUSG00000047490.1,11,1,21,18,21,8,10,20
4932411G14Rik_ENSMUSG00000043986.5,0,0,0,0,0,0,0,0
4932411N23Rik_ENSMUSG00000058670.3,0,0,0,0,0,0,0,0
4932412H11Rik_ENSMUSG00000040367.2,0,0,0,0,0,0,0,0
4932414N04Rik_ENSMUSG00000048204.5,0,0,0,0,0,0,0,0
4932414N04Rik_ENSMUSG00000079324.3,0,0,0,0,0,0,0,0
4932415D10Rik_ENSMUSG00000044581.7,0,0,0,0,0,0,0,0
4932418E24Rik_ENSMUSG00000048038.6,140,54,265,156,254,72,81,71
4932425I24Rik_ENSMUSG00000022805.9,353,308,298,381,676,287,270,246
4932429P05Rik_ENSMUSG00000079513.1,0,0,0,0,0,0,0,0
4932431P20Rik_ENSMUSG00000074224.2,0,0,0,0,5,0,0,0
4932438A13Rik_ENSMUSG00000037270.10,1476,416,2087,1165,1135,431,986,601
4932438H23Rik_ENSMUSG00000039851.5,2,2,1,2,4,1,20,5
4932441B19Rik_ENSMUSG00000074849.2,0,0,0,0,0,0,0,0
4932442E05Rik_ENSMUSG00000050709.4,0,0,0,0,0,0,0,0
4932442L08Rik_ENSMUSG00000043549.7,2,0,0,1,1,0,0,0
4932443I19Rik_ENSMUSG00000090336.1,41,119,41,39,97,99,68,94
4932443L11Rik_ENSMUSG00000086805.2,0,0,0,0,0,2,0,0
4933400A11Rik_ENSMUSG00000055357.2,0,0,0,0,0,0,0,0
4933400C05Rik_ENSMUSG00000044787.7,0,0,0,0,0,0,0,0
4933402D24Rik_ENSMUSG00000025961.1,0,0,0,0,0,0,0,0
4933402E13Rik_ENSMUSG00000045330.1,0,0,0,0,0,1,0,0
4933402J07Rik_ENSMUSG00000069971.5,0,0,0,0,0,0,0,0
4933402N03Rik_ENSMUSG00000013668.8,0,0,0,0,0,0,0,0
4933402N22Rik_ENSMUSG00000091422.1,0,0,0,0,0,0,0,0
4933402P03Rik_ENSMUSG00000044084.2,0,0,0,0,0,0,0,0
4933403F05Rik_ENSMUSG00000038121.6,116,107,115,80,140,123,115,135
4933403G14Rik_ENSMUSG00000050930.3,77,38,56,53,56,45,58,58
4933403O03Rik_ENSMUSG00000057216.3,0,0,0,0,0,0,0,0
4933403O08Rik_ENSMUSG00000079460.4,0,0,0,0,0,0,0,0
4933404M02Rik_ENSMUSG00000075302.4,293,557,263,457,718,538,764,624
4933405L10Rik_ENSMUSG00000013158.4,0,0,0,0,0,0,0,0
4933406J08Rik_ENSMUSG00000027229.5,0,0,0,0,0,0,0,0
4933406M09Rik_ENSMUSG00000050526.4,0,0,0,0,0,0,0,0
4933406P04Rik_ENSMUSG00000069713.2,0,0,6,0,1,0,1,4
4933407C03Rik_ENSMUSG00000034390.8,681,250,1091,822,681,465,353,423
4933407H18Rik_ENSMUSG00000037355.8,48,12,71,53,55,24,26,16
4933407L21Rik_ENSMUSG00000026224.5,0,0,0,0,0,1,4,0
4933407P14Rik_ENSMUSG00000049506.7,0,0,0,0,0,0,0,0
4933408B17Rik_ENSMUSG00000049357.5,19,20,13,3,8,17,13,11
4933409G03Rik_ENSMUSG00000053896.7,0,2,0,4,14,0,7,6
4933409K07Rik_ENSMUSG00000073874.2,0,0,0,0,0,0,0,0
4933411G06Rik_ENSMUSG00000062224.4,0,0,0,0,0,0,0,0
4933411G11Rik_ENSMUSG00000029586.3,0,0,0,0,0,0,0,0
4933411K16Rik_ENSMUSG00000090369.1,0,0,0,0,3,0,0,0
4933411K20Rik_ENSMUSG00000031631.8,202,163,178,137,198,114,168,128
4933412E24Rik_ENSMUSG00000071749.2,0,0,0,0,0,0,0,0
4933413G19Rik_ENSMUSG00000079304.3,6,2,4,1,8,1,0,0
4933414I15Rik_ENSMUSG00000072983.4,0,0,0,0,0,0,0,0
4933415A04Rik_ENSMUSG00000045877.2,0,0,1,1,0,0,2,0
4933415F23Rik_ENSMUSG00000073730.2,0,0,0,0,0,0,0,0
4933416C03Rik_ENSMUSG00000074734.2,0,0,0,0,0,0,0,0
4933417A18Rik_ENSMUSG00000021415.7,0,0,0,0,0,0,0,0
4933421E11Rik_ENSMUSG00000056260.8,473,307,333,420,474,243,339,341
4933421I07Rik_ENSMUSG00000030463.4,0,0,0,0,0,0,0,0
4933422H20Rik_ENSMUSG00000070332.4,0,0,1,1,0,4,0,0
4933424B01Rik_ENSMUSG00000040250.8,469,508,428,474,563,365,474,374
4933425L06Rik_ENSMUSG00000021718.5,1,0,1,3,0,0,0,5
4933425O20Rik_ENSMUSG00000049692.5,0,0,0,0,0,0,0,0
4933426M11Rik_ENSMUSG00000021133.7,447,204,460,362,320,243,338,217
4933427D06Rik_ENSMUSG00000055403.6,0,0,0,0,0,0,0,0
4933427D14Rik_ENSMUSG00000020807.8,138,97,168,149,154,72,142,73
4933427E11Rik_ENSMUSG00000044276.1,0,0,0,0,0,0,0,0
4933427G17Rik_ENSMUSG00000030877.4,5,6,3,9,0,3,8,4
4933427I04Rik_ENSMUSG00000073761.2,0,0,0,0,0,0,0,0
4933428G20Rik_ENSMUSG00000047988.1,0,0,1,0,0,0,0,0
4933428M09Rik_ENSMUSG00000042525.5,0,0,0,0,0,0,0,0
4933430H15Rik_ENSMUSG00000023084.5,286,287,304,331,340,214,204,183
4933430I17Rik_ENSMUSG00000058046.1,2,0,6,21,6,1,9,5
4933432B09Rik_ENSMUSG00000042564.6,35,14,52,31,28,12,6,9
4933433C11Rik_ENSMUSG00000036770.5,0,0,1,0,0,0,0,0
4933433P14Rik_ENSMUSG00000044715.5,149,228,133,155,180,164,219,178
4933434E20Rik_ENSMUSG00000027942.9,339,350,292,376,454,340,479,375
4933434I20Rik_ENSMUSG00000035057.7,0,0,0,0,0,0,0,0
4933436C20Rik_ENSMUSG00000031736.3,14,19,7,20,8,16,2,8
4933436I01Rik_ENSMUSG00000025288.1,0,0,0,0,0,0,0,0
4933437F05Rik_ENSMUSG00000072919.3,23,39,19,11,39,26,28,16
4933439F18Rik_ENSMUSG00000018415.8,54,64,85,69,68,87,90,75
4933440M02Rik_ENSMUSG00000045928.1,0,0,3,0,0,0,0,0
4933440N22Rik_ENSMUSG00000042087.4,0,4,1,3,5,1,0,0
5031410I06Rik_ENSMUSG00000051940.2,0,0,0,0,0,0,0,0
5031414D18Rik_ENSMUSG00000034959.7,451,404,246,210,307,221,172,161
5031425E22Rik_ENSMUSG00000073147.2,91,76,60,56,55,71,42,30
5031434C07Rik_ENSMUSG00000044574.4,0,0,0,0,0,0,0,0
5031439G07Rik_ENSMUSG00000036046.7,506,271,680,390,271,283,336,276
5033411D12Rik_ENSMUSG00000055137.6,22,10,10,10,48,33,22,9
5033414D02Rik_ENSMUSG00000016495.6,492,768,503,758,686,880,1489,1134
5033430I15Rik_ENSMUSG00000038152.3,8,1,4,3,7,8,3,5
5133401N09Rik_ENSMUSG00000050002.6,311,488,294,254,367,449,706,453
5330417C22Rik_ENSMUSG00000040412.9,1299,800,661,487,1121,858,377,472
5330417H12Rik_ENSMUSG00000049740.2,0,0,0,0,0,0,0,0
5330426P16Rik_ENSMUSG00000022639.7,42,36,44,38,16,36,32,41
5330437I02Rik_ENSMUSG00000046610.8,0,0,0,0,0,0,0,3
5330438I03Rik_ENSMUSG00000091393.1,0,0,0,0,0,0,0,0
5330439B14Rik_ENSMUSG00000041614.2,0,0,0,0,0,0,0,0
5430401F13Rik_ENSMUSG00000059364.4,0,0,0,0,0,0,0,0
5430402E10Rik_ENSMUSG00000044121.3,0,0,0,0,0,0,0,0
5430403G16Rik_ENSMUSG00000072763.2,54,23,48,44,32,30,42,42
5430405G05Rik_ENSMUSG00000044364.5,0,0,0,0,0,0,0,0
5430407P10Rik_ENSMUSG00000045319.7,47,40,73,43,195,78,54,51
5430411K18Rik_ENSMUSG00000039840.6,346,80,510,269,207,94,136,142
5430419D17Rik_ENSMUSG00000006204.5,0,0,0,0,0,0,0,0
5430421N21Rik_ENSMUSG00000067613.5,16,7,21,7,21,19,38,29
5430427O19Rik_ENSMUSG00000025058.4,230,225,116,156,234,209,302,244
5430435G22Rik_ENSMUSG00000052688.6,92,69,141,103,93,74,207,128
5430437P03Rik_ENSMUSG00000031820.8,718,957,631,652,904,890,1178,861
5530400C23Rik_ENSMUSG00000055594.5,0,0,0,0,0,0,0,0
5530401A14Rik_ENSMUSG00000020703.3,0,0,0,0,0,0,0,0
5730403B10Rik_ENSMUSG00000004071.6,136,129,138,119,131,141,82,109
5730409E04Rik_ENSMUSG00000073755.4,16,12,35,42,19,49,25,30
5730419I09Rik_ENSMUSG00000030279.8,528,291,619,484,548,311,357,318
5730437N04Rik_ENSMUSG00000004945.8,246,368,158,270,349,395,427,437
5730455O13Rik_ENSMUSG00000054237.5,145,155,79,94,171,128,149,133
5730455P16Rik_ENSMUSG00000057181.8,103,55,71,82,73,73,76,58
5730460C07Rik_ENSMUSG00000062046.1,0,3,0,0,0,0,0,0
5730469M10Rik_ENSMUSG00000021792.9,400,562,283,620,652,609,434,653
5730494M16Rik_ENSMUSG00000024269.4,120,208,111,138,166,173,184,168
5730494N06Rik_ENSMUSG00000027341.3,63,70,56,61,50,85,122,72
5730507C01Rik_ENSMUSG00000073197.1,35,32,3,12,22,39,18,30
5730508B09Rik_ENSMUSG00000050549.7,50,101,53,66,115,95,115,111
5730522E02Rik_ENSMUSG00000032985.8,0,0,0,0,0,0,0,0
5730522E02Rik_ENSMUSG00000073101.3,0,0,0,0,0,0,0,0
5730528L13Rik_ENSMUSG00000039693.5,19,16,21,9,31,10,14,33
5730559C18Rik_ENSMUSG00000041605.9,33,13,16,12,25,21,25,19
5730590G19Rik_ENSMUSG00000046591.8,34,17,55,23,38,13,32,21
5730596B20Rik_ENSMUSG00000056468.3,0,0,0,0,0,0,0,0
5830403L16Rik_ENSMUSG00000045968.6,6,0,1,0,0,0,0,3
5830405N20Rik_ENSMUSG00000034833.8,219,216,168,172,238,205,156,134
5830411N06Rik_ENSMUSG00000054672.6,90,50,75,32,71,90,40,81
5830415F09Rik_ENSMUSG00000028331.6,165,142,127,130,195,130,162,120
5830418K08Rik_ENSMUSG00000046111.9,426,133,349,282,284,189,241,180
5830433M19Rik_ENSMUSG00000028578.8,108,116,84,98,117,112,124,166
5830454E08Rik_ENSMUSG00000052658.4,3,3,4,8,12,3,23,8
5830462I19Rik_ENSMUSG00000091102.1,0,0,0,0,0,0,0,0
5830472F04Rik_ENSMUSG00000073623.3,0,0,0,0,0,0,0,0
5830473C10Rik_ENSMUSG00000070690.3,0,0,0,0,0,0,0,0
5930403N24Rik_ENSMUSG00000046463.3,3,1,0,0,0,0,6,0
5930416I19Rik_ENSMUSG00000048668.9,153,159,174,147,176,171,159,173
5930422O12Rik_ENSMUSG00000048544.8,0,2,0,0,0,0,0,0
5930434B04Rik_ENSMUSG00000015488.8,68,92,69,71,94,77,59,48
6030405A18Rik_ENSMUSG00000056306.5,0,0,0,0,0,0,0,0
6030408B16Rik_ENSMUSG00000075408.4,6,11,16,6,4,9,34,22
6030419C18Rik_ENSMUSG00000066607.3,30,12,16,5,17,28,14,16
6030419C18Rik_ENSMUSG00000091354.1,13,11,1,9,4,7,0,2
6030422M02Rik_ENSMUSG00000046101.9,2,7,1,3,0,0,0,2
6030429G01Rik_ENSMUSG00000055809.7,302,289,351,328,424,265,221,257
6030445D17Rik_ENSMUSG00000066178.2,0,0,0,0,0,0,0,0
6030446N20Rik_ENSMUSG00000049411.7,57,71,52,59,57,56,70,72
6030452D12Rik_ENSMUSG00000054069.7,0,0,0,0,0,0,0,0
6030458C11Rik_ENSMUSG00000022195.5,119,92,169,127,113,84,119,95
6030468B19Rik_ENSMUSG00000025573.4,11,0,3,0,1,10,0,6
6030469F06Rik_ENSMUSG00000073142.2,0,3,0,0,0,0,5,0
6030498E09Rik_ENSMUSG00000051361.6,0,0,0,0,0,0,0,0
6230409E13Rik_ENSMUSG00000028246.7,1,1,6,7,3,3,0,1
6230427J02Rik_ENSMUSG00000042106.3,41,89,32,23,89,58,64,47
6330403A02Rik_ENSMUSG00000053963.5,0,0,0,0,0,0,0,1
6330403L08Rik_ENSMUSG00000075585.2,1,0,0,0,0,0,0,1
6330406I15Rik_ENSMUSG00000029659.9,60,130,111,94,73,75,47,98
6330407J23Rik_ENSMUSG00000038916.6,0,0,0,1,0,0,0,0
6330408A02Rik_ENSMUSG00000070814.8,27,41,50,43,47,21,17,41
6330409D20Rik_ENSMUSG00000009551.2,1,0,0,1,0,2,0,1
6330409N04Rik_ENSMUSG00000021930.8,98,155,94,172,193,181,208,187
6330416G13Rik_ENSMUSG00000045917.10,280,200,329,286,213,198,265,267
6330439K17Rik_ENSMUSG00000037259.8,65,16,105,83,134,38,54,52
6330444E15Rik_ENSMUSG00000051976.2,0,0,0,0,0,0,0,0
6330503K22Rik_ENSMUSG00000033904.8,333,142,373,262,406,174,199,118
6330512M04Rik_ENSMUSG00000045777.8,90,112,62,76,93,91,91,94
6330527O06Rik_ENSMUSG00000027270.8,0,0,0,0,0,0,0,0
6330545A04Rik_ENSMUSG00000073733.4,9,0,9,18,12,11,0,7
6330578E17Rik_ENSMUSG00000026112.6,84,58,93,82,55,73,100,69
6430527G18Rik_ENSMUSG00000034168.6,495,438,615,447,580,505,283,240
6430531B16Rik_ENSMUSG00000073795.4,65,72,66,68,189,94,85,58
6430548M08Rik_ENSMUSG00000031824.8,177,118,270,241,117,121,157,125
6430550D23Rik_ENSMUSG00000074646.4,0,5,2,0,8,5,1,0
6430571L13Rik_ENSMUSG00000037977.4,1,0,1,4,5,1,0,1
6430573F11Rik_ENSMUSG00000039620.9,8,15,20,7,9,5,20,15
6430598A04Rik_ENSMUSG00000045348.9,15,2,18,21,6,13,3,10
6430704M03Rik_ENSMUSG00000045589.7,0,0,0,0,5,0,0,0
6530401N04Rik_ENSMUSG00000020956.8,40,61,30,33,51,46,69,59
6530403G13Rik_ENSMUSG00000052979.1,5,9,9,1,4,12,0,3
6530409C15Rik_ENSMUSG00000043340.3,1,0,0,0,0,0,0,0
6530418L21Rik_ENSMUSG00000048458.8,40,51,41,59,70,57,24,53
6720456B07Rik_ENSMUSG00000033940.7,415,691,296,441,547,652,1062,787
6720456H20Rik_ENSMUSG00000036339.10,190,140,259,223,227,191,173,228
6720463M24Rik_ENSMUSG00000022070.6,45,33,42,31,33,33,37,33
6720489N17Rik_ENSMUSG00000072066.3,15,18,6,20,25,11,26,19
6820408C15Rik_ENSMUSG00000032680.5,279,516,222,261,671,494,512,417
7420426K07Rik_ENSMUSG00000074123.1,0,0,0,0,0,0,0,0
7420461P10Rik_ENSMUSG00000091060.1,0,0,0,0,0,0,0,0
8030411F24Rik_ENSMUSG00000027444.2,0,0,0,0,0,0,0,0
8030423F21Rik_ENSMUSG00000052295.3,0,0,0,0,0,0,0,0
8030423J24Rik_ENSMUSG00000021600.3,0,0,0,0,0,0,0,0
8030462N17Rik_ENSMUSG00000047466.8,161,122,143,108,120,88,122,78
8030474K03Rik_ENSMUSG00000046774.9,0,2,0,5,0,0,0,1
8430406I07Rik_ENSMUSG00000027424.5,75,91,147,103,129,111,133,139
8430408G22Rik_ENSMUSG00000048489.6,290,287,174,96,385,470,145,189
8430410A17Rik_ENSMUSG00000030060.8,220,282,202,188,284,282,276,205
8430410K20Rik_ENSMUSG00000041124.9,274,279,217,287,351,221,233,294
8430419L09Rik_ENSMUSG00000030207.8,131,90,171,179,110,123,130,147
8430423G03Rik_ENSMUSG00000079069.1,0,0,0,2,0,0,0,0
8430427H17Rik_ENSMUSG00000061411.6,106,44,171,163,50,72,69,82
8430432A02Rik_ENSMUSG00000041878.3,2,4,1,2,0,1,4,1
9030025P20Rik_ENSMUSG00000079709.1,8,15,5,3,8,8,7,8
9030224M15Rik_ENSMUSG00000045555.3,19,16,26,28,25,38,10,22
9030418K01Rik_ENSMUSG00000070476.4,87,27,105,96,44,37,77,46
9030425E11Rik_ENSMUSG00000032024.10,22,33,25,21,21,39,53,40
9030612E09Rik_ENSMUSG00000045008.1,0,0,0,0,0,0,0,0
9030617O03Rik_ENSMUSG00000021185.9,229,176,166,183,175,161,175,168
9030619P08Rik_ENSMUSG00000053168.4,0,0,0,0,0,0,0,0
9030624G23Rik_ENSMUSG00000073158.3,2,0,5,4,0,1,8,9
9030624J02Rik_ENSMUSG00000030982.9,994,860,1132,1035,856,766,945,923
9030625A04Rik_ENSMUSG00000044350.7,75,40,100,64,34,61,26,41
9130008F23Rik_ENSMUSG00000054951.2,19,11,11,8,20,21,1,11
9130011E15Rik_ENSMUSG00000039901.8,200,164,206,151,152,177,191,164
9130011J15Rik_ENSMUSG00000044600.8,300,482,222,306,407,439,559,413
9130014G24Rik_ENSMUSG00000050994.12,456,317,525,486,732,292,271,279
9130017N09Rik_ENSMUSG00000035852.4,95,103,81,93,139,157,53,118
9130019O22Rik_ENSMUSG00000030823.6,65,77,45,52,64,23,58,36
9130023H24Rik_ENSMUSG00000062944.3,36,29,21,20,15,29,25,21
9130204L05Rik_ENSMUSG00000091175.1,0,0,0,0,0,0,0,0
9130219A07Rik_ENSMUSG00000054579.7,15,2,18,9,13,2,21,15
9130221H12Rik_ENSMUSG00000090330.1,39,20,55,34,55,29,11,29
9130230L23Rik_ENSMUSG00000054598.7,16,14,14,21,27,32,10,6
9130401M01Rik_ENSMUSG00000022362.4,327,354,270,321,458,461,468,427
9130404H23Rik_ENSMUSG00000024105.2,0,0,1,0,5,3,0,1
9130409I23Rik_ENSMUSG00000038768.7,0,4,0,1,0,0,0,2
9230009I02Rik_ENSMUSG00000072982.1,0,0,0,0,0,0,0,0
9230019H11Rik_ENSMUSG00000071434.2,0,0,0,0,0,0,0,0
9230102O04Rik_ENSMUSG00000079602.2,0,0,0,0,0,0,0,0
9230104L09Rik_ENSMUSG00000027446.2,0,11,2,1,5,3,4,1
9230106D20Rik_ENSMUSG00000042940.7,0,0,0,0,0,0,0,0
9230107M04Rik_ENSMUSG00000078800.2,0,0,0,0,0,0,0,0
9230109A22Rik_ENSMUSG00000051237.6,0,0,0,0,0,0,0,0
9230110C19Rik_ENSMUSG00000053070.3,113,203,97,127,236,143,116,151
9230110F15Rik_ENSMUSG00000047980.6,0,0,0,0,0,0,0,0
9230112D13Rik_ENSMUSG00000021797.1,0,0,0,0,0,0,0,0
9230112E08Rik_ENSMUSG00000070461.2,12,12,19,14,0,2,2,4
9230113P08Rik_ENSMUSG00000078934.2,0,0,0,0,0,0,0,0
9330101J02Rik_ENSMUSG00000049571.10,135,82,242,165,274,79,94,84
9330154J02Rik_ENSMUSG00000056031.7,0,3,0,0,0,0,0,1
9330159F19Rik_ENSMUSG00000004360.8,10,12,35,31,12,3,3,2
9330160F10Rik_ENSMUSG00000072809.2,5,7,4,4,0,2,3,9
9330161L09Rik_ENSMUSG00000055271.4,0,1,4,0,0,0,0,0
9330171B17Rik_ENSMUSG00000039133.5,0,0,0,0,0,0,0,0
9330182L06Rik_ENSMUSG00000056004.9,66,30,28,24,38,37,24,24
9330188P03Rik_ENSMUSG00000087212.2,4,0,0,0,0,0,0,0
9430002A10Rik_ENSMUSG00000062704.2,1,0,2,0,0,0,1,0
9430007A20Rik_ENSMUSG00000028593.4,0,0,0,0,0,0,0,0
9430015G10Rik_ENSMUSG00000059939.7,52,14,66,46,31,32,50,28
9430016H08Rik_ENSMUSG00000025971.5,153,228,144,137,220,265,245,226
9430020K01Rik_ENSMUSG00000033960.5,404,392,603,379,618,274,271,187
9430023L20Rik_ENSMUSG00000037204.6,191,294,203,197,182,259,287,222
9430031J16Rik_ENSMUSG00000054976.7,0,0,0,0,0,0,0,0
9430038I01Rik_ENSMUSG00000040139.8,35,56,26,39,30,55,56,43
9430070O13Rik_ENSMUSG00000026601.6,4,0,6,1,7,2,0,0
9430076C15Rik_ENSMUSG00000090982.1,2,18,19,6,2,3,6,22
9430097D07Rik_ENSMUSG00000075405.3,2,0,0,0,0,0,0,0
9530002B09Rik_ENSMUSG00000023263.3,0,0,0,0,0,0,0,0
9530003J23Rik_ENSMUSG00000020177.6,0,2,2,0,2,0,0,1
9530008L14Rik_ENSMUSG00000058022.6,23,26,29,27,15,19,52,88
9530053A07Rik_ENSMUSG00000078776.3,112,268,74,121,206,210,182,113
9530068E07Rik_ENSMUSG00000036275.6,694,769,685,690,642,794,724,671
