GeneSymbol_EnsemblGeneID,alpha7G_Control_Male,alpha7G_Smoked_Male,alpha7E260A:G_Control_Male,alpha7E260A:G_Smoked_Male,alpha7G_C_Female,alpha7G_Smoked_Female,alpha7E260A:G_C_Female,alpha7E260A:G_Smoked_Female
1190003J15Rik_ENSMUSG00000025481.5,36,108,26,44,57,140,44,90
1190005F20Rik_ENSMUSG00000053286.5,520,461,551,537,608,530,461,551
1190005I06Rik_ENSMUSG00000043687.8,4,12,7,5,0,15,14,9
1190007I07Rik_ENSMUSG00000063320.3,41,57,35,23,24,87,64,39
1200009I06Rik_ENSMUSG00000021280.7,33,52,68,31,53,32,54,33
1200011I18Rik_ENSMUSG00000022008.3,139,108,237,195,178,126,187,129
1200011M11Rik_ENSMUSG00000020495.7,391,391,473,415,474,367,412,281
1200014J11Rik_ENSMUSG00000020783.7,425,402,373,354,480,406,448,369
1200016B10Rik_ENSMUSG00000052748.7,492,312,408,402,673,318,333,379
1300001I01Rik_ENSMUSG00000020741.10,808,449,1179,837,611,484,624,648
1300002K09Rik_ENSMUSG00000028327.7,38,62,106,344,80,39,122,242
1300010F03Rik_ENSMUSG00000058997.6,407,254,487,386,383,250,297,283
1300014I06Rik_ENSMUSG00000021411.9,154,177,85,101,182,170,75,97
1300017J02Rik_ENSMUSG00000033688.3,0,0,2,6,4,0,0,0
1300018I17Rik_ENSMUSG00000001062.11,295,189,318,237,156,167,142,150
1300018J18Rik_ENSMUSG00000035757.9,345,313,306,290,391,331,280,278
1500001M20Rik_ENSMUSG00000030316.7,86,121,59,66,105,110,148,124
1500002C15Rik_ENSMUSG00000073681.1,6,0,5,1,0,2,0,2
1500002O20Rik_ENSMUSG00000002210.5,231,287,221,195,212,249,189,161
1500003O03Rik_ENSMUSG00000014077.7,621,573,710,822,787,720,834,984
1500009C09Rik_ENSMUSG00000068099.4,0,1,0,0,0,0,0,0
1500009L16Rik_ENSMUSG00000087651.2,7,9,3,5,6,8,12,13
1500010J02Rik_ENSMUSG00000020898.11,289,237,317,248,214,182,233,176
1500011H22Rik_ENSMUSG00000029463.5,121,218,127,209,234,236,190,185
1500012F01Rik_ENSMUSG00000074578.6,337,747,194,246,355,534,537,403
1500015O10Rik_ENSMUSG00000026051.8,8,15,8,7,15,6,10,3
1500031L02Rik_ENSMUSG00000035790.8,136,140,75,92,108,144,132,134
1500032L24Rik_ENSMUSG00000022452.8,439,1243,429,567,724,964,1487,996
1500035N22Rik_ENSMUSG00000059631.6,1,40,8,9,2,9,8,14
1520401A03Rik_ENSMUSG00000043747.4,0,0,0,0,0,0,0,1
1520402A15Rik_ENSMUSG00000028701.4,26,10,15,15,31,29,16,19
1600002H07Rik_ENSMUSG00000024118.7,76,75,62,78,57,71,91,72
1600002K03Rik_ENSMUSG00000035595.6,49,124,59,44,75,100,149,104
1600012F09Rik_ENSMUSG00000075054.4,37,41,28,31,54,31,30,31
1600012H06Rik_ENSMUSG00000050088.8,165,201,196,162,294,214,286,189
1600012P17Rik_ENSMUSG00000047661.2,0,0,0,0,0,0,0,1
1600014C10Rik_ENSMUSG00000054676.8,313,309,441,343,359,385,590,452
1600014K23Rik_ENSMUSG00000035491.5,0,0,0,0,0,0,0,0
1600015I10Rik_ENSMUSG00000029813.7,1,0,0,0,8,0,0,0
1600016N20Rik_ENSMUSG00000025500.5,43,39,20,36,13,21,12,16
1600021P15Rik_ENSMUSG00000051065.7,27,22,23,24,16,30,35,16
1600027N09Rik_ENSMUSG00000027569.9,127,134,116,89,147,179,171,107
1600029D21Rik_ENSMUSG00000032068.7,3964,4478,5524,7548,4820,5643,8255,9313
1600029I14Rik_ENSMUSG00000046242.5,494,701,403,576,954,770,754,634
1600029O15Rik_ENSMUSG00000057818.6,1,2,0,1,4,2,3,4
1700001C02Rik_ENSMUSG00000029182.4,155,318,136,172,282,403,436,290
1700001C19Rik_ENSMUSG00000047150.8,0,0,0,0,0,2,0,0
1700001F09Rik_ENSMUSG00000072603.3,0,0,0,0,0,0,0,0
